area,item,amount [t],absolute_losses [t],relative_losses,population,al/capita [kg]
Chile,Poultry Birds,294875663.3209564,-12891421.519503891,-0.04571681536935257,19206688.0,-671.1944047565041
Switzerland,Soyabeans,6505071.400204302,-6492892.92841674,-1.0,8606431.0,-754.4233990160079
Viet Nam,Soyabeans,75764780.41168858,-74553724.41319694,-1.0,96203595.0,-774.9577800413481
Eswatini,Poultry Birds,7549032.735635298,-935673.6157265743,-0.1414823539386878,1174222.0,-796.8455843329236
Malta,Wheat and products,452836.37162555265,-407862.19650863134,-1.0,509595.0,-800.3653813491721
Gabon,Soyabean Cake,1905649.0282911332,-1899221.2122506201,-1.0,2267995.0,-837.4009696893601
United Kingdom,Soyabeans,58493277.40582663,-57907395.18760314,-1.0,66951174.0,-864.9197874798004
Slovenia,Poultry Birds,41740026.29603497,-1840580.5872825012,-0.046130480125410545,2116252.0,-869.7360178667291
Colombia,Poultry Birds,1063183815.8139127,-45342030.03184092,-0.0445472279338599,50617028.0,-895.7860985406121
Kenya,Poultry Birds,95213851.0552547,-46331854.875369675,-0.9478306635610612,51460211.0,-900.3432744449818
Dominican Republic,Soyabeans,10014101.491600469,-9999671.674208062,-1.0,10939347.0,-914.1013329413594
Guinea,Soyabeans,12760082.80125227,-12760082.80125227,-1.0,13041586.0,-978.414956681823
Denmark,Soyabean Cake,7434396.190463419,-5990753.556851349,-1.0,5810778.0,-1030.9727125784789
Barbados,Soyabean Cake,308123.3697099154,-297974.41160165094,-1.0,280427.0,-1062.5739019482824
New Zealand,Poultry Birds,114723916.75983804,-5478284.2598104775,-0.05014648306246117,5026496.0,-1089.8813526978788
Spain,Soyabeans,55803599.07485299,-53303492.24485734,-1.0,47329954.0,-1126.2105229355882
Nicaragua,Soyabeans,7734085.482744737,-7724085.482744737,-1.0,6709705.0,-1151.1810851214377
Ethiopia,Sesame seed,142472441.91815844,-142212441.91815844,-1.0,115638360.0,-1229.8033448257002
United Kingdom,Poultry Birds,1004083608.9796096,-84024695.3013618,-0.09132534237991852,66951174.0,-1255.014517017458
Saudi Arabia,Soyabeans,46774813.64613373,-46311308.026516475,-1.0,36229972.0,-1278.2595588679028
Uruguay,Cattle,6513586.101753115,-4389286.0142555665,-1.0,3428271.0,-1280.3206089178966
Viet Nam,Poultry Birds,849378770.6640753,-123295805.49683714,-0.1698095278525622,96203595.0,-1281.613285832376
Afghanistan,Soyabeans,50812279.76104811,-50804521.762138985,-1.0,38326027.0,-1325.588007390878
Haiti,Soyabeans,15569851.793082548,-15569851.793082548,-1.0,11234508.0,-1385.8952962677624
Guatemala,Poultry Birds,252350010.3672212,-24526878.85862112,-0.10765754423709728,17231172.0,-1423.401661745418
Uruguay,Eggs,5164330.53931508,-5113440.029644244,-1.0,3428271.0,-1491.5507057768316
"China, Hong Kong SAR",Poultry Birds,32210849.538890537,-11257590.270088036,-0.5372715588380832,7501907.0,-1500.6304757027826
Egypt,Soyabeans,184100515.4727919,-182067700.20703286,-1.0,106538719.0,-1708.9345724818868
Ireland,Soyabeans,8438108.404548138,-8427136.637124162,-1.0,4925074.0,-1711.0680239777437
French Polynesia,Sesame seed,525231.7501187411,-525231.7501187411,-1.0,300742.0,-1746.4529401238972
Kuwait,Soyabeans,7805193.606227689,-7804632.148730324,-1.0,4468361.0,-1746.64315365977
Uruguay,Poultry Meat,6240531.662328637,-6171352.737598336,-1.0,3428271.0,-1800.135618683102
Nicaragua,Poultry Birds,73833930.05431426,-12798866.51605153,-0.20969694752636658,6709705.0,-1907.515533999115
Ghana,Soyabeans,61952996.030906886,-61774424.64816709,-1.0,31849246.0,-1939.5882919227379
Malta,Poultry Birds,3061485.176709606,-1091523.1208654859,-0.5540833223804269,509595.0,-2141.9423676949064
Sweden,Soyabean Cake,22577585.122809097,-22355838.908358265,-1.0,10321414.0,-2165.96668909495
"China, mainland",Soyabeans,3222150700.4215016,-3131118625.3834815,-1.0,1423998019.0,-2198.8223182938864
Jordan,Poultry Birds,281747706.826668,-23820598.280328304,-0.09235399262442656,10817077.0,-2202.128937450321
Afghanistan,Poultry Birds,126297022.63469896,-92413368.32281508,-1.0,38326027.0,-2411.2431044004397
Cuba,Soyabeans,27421123.24904399,-27370515.95858331,-1.0,11309236.0,-2420.191422177706
Gabon,Poultry Birds,10556854.395582056,-5532041.863846588,-1.0,2267995.0,-2439.177275014534
Latvia,Soyabeans,4708536.809079466,-4707919.536695828,-1.0,1907244.0,-2468.4411311273375
Oman,Soyabeans,12747285.420515388,-12747285.420515388,-1.0,4589136.0,-2777.7092290390583
Honduras,Poultry Birds,124616016.46308452,-30687224.201263234,-0.3267073222417711,10041790.0,-3055.951598396624
South Africa,Poultry Birds,1180753362.2477703,-198236433.2105447,-0.2017638855391508,58466143.0,-3390.619306126363
Kiribati,Poultry Birds,1489331.8977672046,-444114.0372258496,-0.4249009263923478,125256.0,-3545.650804958242
Mongolia,Soyabeans,11961144.381164797,-11960481.940826124,-1.0,3266463.0,-3661.6003122723646
Egypt,Poultry Birds,1645677218.7368054,-392361923.5474324,-0.31305923182573747,106538719.0,-3682.8105990971453
Lithuania,Soyabeans,11529088.167568456,-11525359.760569038,-1.0,2835900.0,-4064.0924435167103
Peru,Poultry Birds,828411354.6385232,-136879189.4144106,-0.19793611389001775,33090281.0,-4136.537535429529
Ghana,Poultry Birds,238889808.37304944,-134732792.1204769,-1.0,31849246.0,-4230.329098543712
Dominican Republic,Poultry Birds,215784322.9701148,-47118556.49685475,-0.27936052159300995,10939347.0,-4307.254948293966
"China, mainland",Poultry Birds,19761746092.35187,-6135098708.91383,-0.4502280374826817,1423998019.0,-4308.361828496217
Gambia,Soyabeans,11372111.282005858,-11372111.282005858,-1.0,2541049.0,-4475.360877340759
Honduras,Soyabeans,47185456.04251602,-47184456.04251602,-1.0,10041790.0,-4698.809280269356
Gabon,Soyabeans,11499839.940917928,-11494664.787551751,-1.0,2267995.0,-5068.205524064979
Sweden,Poultry Birds,165305066.47299248,-54419060.33048424,-0.4907658073692913,10321414.0,-5272.442354359997
Lithuania,Poultry Birds,69275001.2096988,-15839688.04112567,-0.2964273455487383,2835900.0,-5585.418400199467
Uruguay,Milk - Excluding Butter,22072197.702832565,-19861620.51958268,-1.0,3428271.0,-5793.480305256697
Barbados,Soyabeans,1782970.3718928313,-1771445.9631467492,-1.0,280427.0,-6316.959362496297
Denmark,Pigs,93181102.5472516,-61769936.43590616,-1.0,5810778.0,-10630.235131320824
Uruguay,Soyabean Oil,42951519.136316225,-42934553.63633021,-1.0,3428271.0,-12523.675530998047
Latvia,Poultry Birds,47878472.89544339,-26266997.919071157,-1.0,1907244.0,-13772.227318094148
Uruguay,Pigs,49493434.15537023,-49368159.90467163,-1.0,3428271.0,-14400.308465891883
Sweden,Soyabeans,153752456.77599522,-153733907.06103942,-1.0,10321414.0,-14894.655621898262
Malta,Soyabeans,8265829.831081873,-8265829.831081873,-1.0,509595.0,-16220.390370945306
Togo,Soyabeans,165725330.55171046,-165723330.55171046,-1.0,8342236.0,-19865.57687312016
Denmark,Soyabeans,136871103.38392484,-136853143.63434097,-1.0,5810778.0,-23551.604214502942
Niger,Soyabeans,792427674.7496899,-792427674.7496899,-1.0,23881690.0,-33181.39020939012
Barbados,Poultry Birds,17759395.91036489,-10130660.771558031,-1.0,280427.0,-36125.83942187461
Uruguay,Rabbits and hares,161072500.1575859,-160846655.43853053,-1.0,3428271.0,-46917.71900136557
New Caledonia,Soyabeans,14038943.344674196,-14038943.344674196,-1.0,285619.0,-49152.694129851996
Uruguay,Soyabean Cake,174657235.12620384,-174595306.3287646,-1.0,3428271.0,-50928.09358675688
Denmark,Poultry Birds,527330105.2218956,-372387920.59023744,-1.0,5810778.0,-64085.72493911098
Guyana,Soyabeans,50857808.016431786,-50857808.016431786,-1.0,791842.0,-64227.217066576144
Dominica,Soyabeans,26327310.889865022,-26327310.889865022,-1.0,71764.0,-366859.5798710359
Uruguay,Sorghum and products,2284075106.527234,-2283971398.8721466,-1.0,3428271.0,-666216.7019095476
Guyana,Poultry Birds,622152105.9319098,-594376265.9823754,-1.0,791842.0,-750624.8291734656
Cabo Verde,Soyabeans,560825393.8565961,-560825393.8565961,-1.0,579933.0,-967052.0454200676
Uruguay,Poultry Birds,12121572170.541082,-12095837791.762512,-1.0,3428271.0,-3528261.8532089535
Uruguay,Soyabeans,32841930902.94095,-32840603240.977425,-1.0,3428271.0,-9579348.669045541
